Effectif des candidats en terminale générale ayant reçu une proposition d’admission de la part de l’établissement,Région de l’établissement,Filière de formation
20.0,Lille,Contrôle industriel et régulation automatique
4.0,Lille,Electrotechnique
226.0,Lille,MPSI
8.0,Lille,Support à l'action managériale
58.0,Lille,Commerce International
82.0,Lille,Génie électrique et informatique industrielle
16.0,Lille,Aquaculture
17.0,Lille,Economie sociale familiale
488.0,Lille,Administration économique et sociale
571.0,Lille,Economie et gestion
215.0,Lille,Arts du spectacle
357.0,Lille,Lettres
653.0,Lille,Histoire
15.0,Lille,Management Commercial Opérationnel
187.0,Lille,Informatique
214.0,Lille,Gestion des entreprises et des administrations
199.0,Lille,Techniques de commercialisation
45.0,Lille,Génie industriel et maintenance
75.0,Lille,Diplôme de Comptabilité et de Gestion
189.0,Lille,Génie biologique parcours sciences de l'environnement et écotechnologies
686.0,Clermont-Ferrand,PCSI
0.0,Clermont-Ferrand,ECT - Option technologique
13.0,Clermont-Ferrand,Support à l'action managériale
24.0,Clermont-Ferrand,Economie sociale familiale
171.0,Clermont-Ferrand,PTSI
4.0,Clermont-Ferrand,Conception et Réalisation de Systèmes Automatiques
33.0,Clermont-Ferrand, conduite et stratégie de l'entreprise agricole
8.0,Clermont-Ferrand,Conception de produits industriels
92.0,Clermont-Ferrand,Architecture
0.0,Clermont-Ferrand, littératures et civilisations étrangères et régionales - Parcours Italien disciplinaire
48.0,Clermont-Ferrand,Langues étrangères appliquées
0.0,Clermont-Ferrand, littératures et civilisations étrangères et régionales - Parcours  Russe disciplinaire
14.0,Bordeaux,Travaux publics
0.0,Bordeaux,Lycée Cantau - BTS - Production - Fluide
5.0,Bordeaux,Conception des processus de réalisation de produits (1ère année commune)
47.0,Bordeaux,Comptabilité et gestion
21.0,Bordeaux,Conseil et commercialisation de solutions techniques
10.0,Bordeaux,Support à l'action managériale
397.0,Bordeaux,Histoire de l'art et archéologie
408.0,Bordeaux,Informatique
197.0,Bordeaux,Mathématiques et informatique appliquées aux sciences humaines et sociales
80.0,Bordeaux,Génie industriel et maintenance
256.0,Bordeaux,Informatique
1.0,Bordeaux,Technico-commercial - Spécialité alimentation et boisson
33.0,Bordeaux,Institut Agricole Secondaire Jean Errecart - BTS - Agricole - QUalité
0.0,Bordeaux, littératures et civilisations étrangères et régionales - Parcours Basque
1023.0,Bordeaux,Droit
209.0,Bordeaux,Science des données
469.0,Toulouse,PCSI
13.0,Toulouse,Banque
28.0,Toulouse,Services informatiques aux organisations
23.0,Toulouse,Management Commercial Opérationnel
270.0,Montpellier,MPSI
454.0,Montpellier,PCSI
16.0,Montpellier,Comptabilité et gestion
3.0,Montpellier,Support à l'action managériale
1.0,Montpellier,Conception et Réalisation de Systèmes Automatiques
3.0,Montpellier,Conception et industrialisation en microtechniques
10.0,Montpellier,Bâtiment
209.0,Montpellier,Génie biologique parcours sciences de l'environnement et écotechnologies
273.0,Montpellier,Gestion des entreprises et des administrations
12.0,Strasbourg,Comptabilité et gestion
15.0,Strasbourg,Support à l'action managériale
35.0,Strasbourg,Négociation et digitalisation de la Relation Client
58.0,Strasbourg,Comptabilité et gestion
448.0,Strasbourg,Lettres
213.0,Strasbourg,Ecole nationale des Chartes
41.0,Strasbourg,Bioqualité
405.0,Strasbourg,PCSI
193.0,Strasbourg,ENS Cachan D2
107.0,Strasbourg,Hôtellerie restauration
5.0,Strasbourg,Conception des processus de réalisation de produits (1ère année commune)
217.0,Strasbourg,Génie civil - Construction durable
43.0,Strasbourg,Information communication Parcours information numérique dans les organisations
65.0,Strasbourg,Opticien-Lunetier
76.0,Strasbourg,Commerce International
5.0,Strasbourg, conduite et stratégie de l'entreprise agricole
8.0,Strasbourg,Maintenance des systèmes - option A Systèmes de production
101.0,Strasbourg,Génie électrique et informatique industrielle
25.0,Strasbourg, logistique industrielle et organisation
107.0,Strasbourg,Métiers du multimédia et de l'internet
14.0,Strasbourg, sportives et de loisirs pour les publics séniors
1072.0,Strasbourg,Sciences et Techniques des Activités Physiques et Sportives
131.0,Strasbourg,Musicologie
0.0,Strasbourg, littératures et civilisations étrangères et régionales - Parcours Études hispaniques
0.0,Strasbourg, littératures et civilisations étrangères et régionales - Parcours Études japonaises
0.0,Strasbourg, littératures et civilisations étrangères et régionales - Parcours Études persanes
1807.0,Strasbourg,Droit
293.0,Strasbourg,Géographie et aménagement
1359.0,Strasbourg,Psychologie
861.0,Strasbourg,Sciences sociales
25.0,Strasbourg,Management Commercial Opérationnel
0.0,Strasbourg,TSI
7.0,Strasbourg,Maintenance des systèmes - option A Systèmes de production
11.0,Strasbourg,Support à l'action managériale
141.0,Strasbourg,Techniques de commercialisation
20.0,Strasbourg,Management Commercial Opérationnel
12.0,Strasbourg, chimie - Parcours Physique / Chimie / Environnement
7.0,Strasbourg,Conception et réalisation en chaudronnerie industrielle
87.0,Strasbourg,Professions immobilières
1024.0,Lyon,PCSI
742.0,Lyon,Lettres
13.0,Lyon,Support à l'action managériale
411.0,Lyon,ENS Cachan D2
11.0,Lyon,Maintenance des systèmes - option A Systèmes de production
19.0,Lyon,Contrôle industriel et régulation automatique
0.0,Lyon,TB
0.0,Lyon,ECT - Option technologique
9.0,Lyon,Négociation et digitalisation de la Relation Client
72.0,Lyon,Communication
6.0,Lyon,Gestion des transports et logistique associée
20.0,Lyon,Management Commercial Opérationnel
5.0,Lyon,Conception et Réalisation de Systèmes Automatiques
865.0,Lyon,Droit
68.0,Lyon,Lettres
445.0,Lyon,Génie chimique génie des procédés
377.0,Lyon,Génie civil - Construction durable
358.0,Lyon,Informatique
73.0,Lyon,Génie biologique Parcours diététique et nutrition
227.0,Lyon,Gestion des entreprises et des administrations
27.0,Lyon,EPL Lyon St Genis Laval - Lycée André Paillot - BTS - Agricole - Analyses biologiques
23.0,Lyon,Gestion de la PME
168.0,Lyon,Commerce International
140.0,Lyon,Commerce International
8.0,Lyon,Support à l'action managériale
42.0,Lyon,Comptabilité et gestion
35.0,Lyon,Services informatiques aux organisations
11.0,Lyon,Architectures en Métal : conception et Réalisation
11.0,Lyon, sportives ou culturelles - Parcours Animation
2498.0,Lyon,Physique
49.0,Lyon,Métiers de l'esthétique-cosmétique-parfumerie
1278.0,Lyon,Formation d'ingénieur Bac + 5
18.0,Lyon,Langues étrangères appliquées
3100.0,Lyon,Droit
53.0,Lyon,Assurance
28.0,Lyon,Négociation et digitalisation de la Relation Client
17.0,Lyon,Services informatiques aux organisations
1281.0,Lyon,PCSI
0.0,Lyon,Lycée La Martiniere Monplaisir - BTS - Production - Fluide
0.0,Lyon,ECT - Option technologique
76.0,Lyon,Gestion des entreprises et des administrations
18.0,Besancon,Management Commercial Opérationnel
6.0,Besancon,Conception des processus de réalisation de produits (1ère année commune)
1099.0,Lyon,Formation d'ingénieur Bac + 5
7.0,Besancon,Support à l'action managériale
38.0,Dijon,Lycée polyvalent Niépce-Balleure - BTS - Production - Cybersécurité
15.0,Dijon,Management Commercial Opérationnel
10.0,Dijon,Comptabilité et gestion
1.0,Dijon,Techniques et services en matériels agricoles
2.0,Dijon,Maintenance des véhicules option véhicules de transport routier
11.0,Dijon,Management Commercial Opérationnel
348.0,Dijon,Techniques de commercialisation
79.0,Dijon,Management de la Logistique et des Transports
17.0,Dijon,Négociation et digitalisation de la Relation Client
197.0,Dijon,Administration économique et sociale
7.0,Dijon,Management Commercial Opérationnel
11.0,Nantes, conduite et stratégie de l'entreprise agricole
10.0,Nantes,Lycée polyvalent d'Estournelles de Constant - BTS - Production - Fluide
492.0,Nantes,MPSI
277.0,Nantes,PTSI
37.0,Nantes,Lycée Polyvalent Gabriel Touchard - Washington - BTS - Production - Cybersécurité
3.0,Nantes,Electrotechnique
9.0,Nantes,Support à l'action managériale
21.0,Nantes,Management Commercial Opérationnel
0.0,Nantes,Management en hôtellerie restauration
25.0,Nantes,Services informatiques aux organisations
634.0,Nantes,Sciences de la vie et de la terre
232.0,Nantes,Mathématiques
153.0,Nantes,Géographie et aménagement
37.0,Nantes,Comptabilité et gestion
0.0,Grenoble,TSI
23.0,Grenoble,Conception de produits industriels
3.0,Grenoble,Conception des processus de réalisation de produits (1ère année commune)
181.0,Grenoble,Lettres
162.0,Grenoble,Histoire
258.0,Grenoble,Sciences de la terre
643.0,Grenoble,Sciences et Techniques des Activités Physiques et Sportives
12.0,Grenoble, chimie - Parcours Chimie (tronc commun MPC:  Mathématiques Physique Chimie)
260.0,Grenoble,Mathématiques
150.0,Grenoble,Science et génie des matériaux
32.0,Grenoble,Gestion administrative et commerciale des organisations
376.0,Grenoble,Lettres
11.0,Grenoble,Support à l'action managériale
155.0,Grenoble,PTSI
13.0,Grenoble,Conception des processus de réalisation de produits (1ère année commune)
12.0,Grenoble,Bioanalyses et contrôles
21.0,Grenoble,Analyses de biologie médicale
16.0,Grenoble,ENILV - BTS - Agricole - Analyses biologiques
20.0,Grenoble,Management Commercial Opérationnel
343.0,Grenoble,Techniques de commercialisation
2.0,Grenoble,Gestion de la PME
36.0,Paris,Services informatiques aux organisations
254.0,Paris,Diplôme de Comptabilité et de Gestion
31.0,Paris,Comptabilité et gestion
23.0,Paris,Communication
524.0,Paris,Lettres
485.0,Paris,Lettres
741.0,Paris,BCPST
792.0,Paris,BCPST
683.0,Paris,Lettres
622.0,Paris,Lettres
1430.0,Paris,MPSI
55.0,Paris,Négociation et digitalisation de la Relation Client
35.0,Paris,Gestion de la PME
23.0,Paris,Métiers du géomètre-topographe et de la modélisation numérique
37.0,Paris,Métiers de l'esthétique-cosmétique-parfumerie
554.0,Paris,MPSI
571.0,Paris,Lettres
918.0,Paris,PCSI
1029.0,Paris,BCPST
86.0,Paris,Biotechnologies
42.0,Paris,Etudes de réalisation d'un projet de communication - 1ère année commune
1085.0,Nice,Formation d'ingénieur Bac + 5
559.0,Paris,PCSI
5.0,Paris,Lycée Raspail - BTS - Production - Fluide
17.0,Paris,Conseil et commercialisation de solutions techniques
755.0,Paris,PCSI
21.0,Paris,Comptabilité et gestion
24.0,Paris,Travaux publics
720.0,Paris,Lettres
518.0,Paris,BCPST
632.0,Paris,ENS Cachan D2
4.0,Paris,Support à l'action managériale
137.0,Paris,Commerce International
21.0,Paris,Lycée Diderot - BTS - Production - Cybersécurité
20.0,Paris,Assistance technique d'ingénieur
745.0,Paris,Lettres
77.0,Paris,Professions immobilières
984.0,Paris,Arts plastiques
1689.0,Paris,Droit
47.0,Paris,Droit
201.0,Paris,Droit
219.0,Paris,Histoire
54.0,Paris,Histoire
148.0,Paris,Droit
2039.0,Paris,Droit
95.0,Paris,Cinéma et Audiovisuel
82.0,Paris,Lettres
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Allemand Etudes germaniques - Mineure Information-Communication
69.0,Paris,Langues étrangères appliquées
14.0,Paris, littératures et civilisations étrangères et régionales - Parcours LLCER :  BOSNIAQUE-CROATE-MONTENEGRIN-SERBE
4.0,Paris, littératures et civilisations étrangères et régionales - Parcours LLCER : PORTUGAIS
1.0,Paris, littératures et civilisations étrangères et régionales - LLCER :  ANGLAIS
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours LLCER : NEERLANDAIS
20.0,Paris, littératures et civilisations étrangères et régionales - LLCER : ALLEMAND NON DEBUTANT
233.0,Paris,Lettres
964.0,Paris,Lettres
0.0,Paris, littératures et civilisations étrangères et régionales - LETTRES MODERNES - LLCER ESPAGNOL
170.0,Paris,Histoire
0.0,Paris, littératures et civilisations étrangères et régionales - HISTOIRE - LLCER ITALIEN NON DEBUTANT
879.0,Paris,Sciences et Techniques des Activités Physiques et Sportives
1653.0,Paris,Economie et gestion
0.0,Paris, technologie
354.0,Paris,Langues étrangères appliquées
309.0,Paris,Lettres
128.0,Paris,Langues étrangères appliquées
531.0,Paris,Mathématiques et informatique appliquées aux sciences humaines et sociales
366.0,Paris,Psychologie
41.0,Paris,Economie sociale familiale
65.0,Paris,Psychologie
73.0,Paris,Professions immobilières
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Afrique et océan Indien - Berbère
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Asie du Sud-Est et Pacifique - Siamois (Thaï)
9.0,Paris, littératures et civilisations étrangères et régionales - Parcours Asie du Sud-Est et Pacifique - Vietnamien
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Asie du Sud et Himalaya - Ourdou
33.0,Paris, littératures et civilisations étrangères et régionales - parcours Afrique et océan Indien - Malgache
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Asie du Sud et Himalaya -  Rromani
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Asie du Sud et Himalaya - Tibétain
2.0,Paris, littératures et civilisations étrangères et régionales - Parcours Arabe littéral
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Europe - Slovène
7.0,Paris, littératures et civilisations étrangères et régionales - Parcours Europe - Roumain
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Europe - Macédonien
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Russie - Russe
2.0,Paris, littératures et civilisations étrangères et régionales - Parcours Eurasie - Turc
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Eurasie - Persan
124.0,Paris,Bioanalyses et contrôles
0.0,Paris, littératures et civilisations étrangères et régionales - Parcours Espagnol  - Arts et cultures du monde hispanique
308.0,Paris,Commerce International
213.0,Paris,Communication
0.0,Paris,ECT - Option technologique
37.0,Paris,Services informatiques aux organisations
285.0,Paris,Gestion des entreprises et des administrations
22.0,Paris,Information communication Parcours publicité
402.0,Paris,Mesures physiques
22.0,Normandie,Négociation et digitalisation de la Relation Client
18.0,Normandie,Comptabilité et gestion
301.0,Normandie,PCSI
17.0,Normandie,Gestion de la PME
5.0,Normandie,Contrôle industriel et régulation automatique
5.0,Normandie,Comptabilité et gestion
57.0,Normandie,Commerce International
577.0,Normandie,PCSI
338.0,Normandie,Lettres
9.0,Normandie,Gestion de la PME
38.0,Normandie,Tourisme
155.0,Normandie,Architecture
39.0,Normandie,Collaborateur juriste notarial
205.0,Normandie,Métiers de la Transition et de l'Efficacité Énergétiques
175.0,Normandie,Réseaux et télécommunications
322.0,Normandie,Carrières juridiques
40.0,Normandie,Services informatiques aux organisations
269.0,Normandie,Génie mécanique et productique
418.0,Normandie,Gestion des entreprises et des administrations
498.0,Normandie,Techniques de commercialisation
20.0,Normandie,Assurance
10.0,Normandie,Support à l'action managériale
